41.6,-188.05939906,-2.156,-0.00467247757014,461.425436,TDC+Rev,0.140199645974,461.425436
31.36,-188.09087484,-3.136,-30.8475846026,461.4572051,TDC+,0.140743554938,461.4572051
24.64,-188.130749889,-3.612,-15.231561331,461.488456,TDC+,0.141432544256,461.488456
14.4,-188.194385391,-3.108,15.8865748986,461.5201809,TDC+,0.14253194147,461.5201809
8.0,-188.196544168,-2.212,16.9954154108,461.572901,TDC+,0.142569234453,461.572901
2.88,-188.197813324,-1.652,17.5399582173,461.6048281,TDC+,0.142591159093,461.6048281
0.0,-188.200665589,-1.624,0.884874648027,461.636471,TDC+,0.142640431649,461.636471
-2.88,-188.214237534,-2.254,-19.7709705663,461.6683359,TDC+,0.142874880622,461.6683359
0.96,-188.244773727,-3.01,-24.170961595,461.6996131,TDC+,0.143402349679,461.6996131
1.28,-188.279935227,-3.402,-12.3753780489,461.7312889,TDC+,0.144009663834,461.7312889
1.28,-188.309241646,-2.954,14.1646194365,461.762917,TDC+,0.144515806813,461.762917
0.96,-188.318685815,-2.17,24.6060366391,461.7947791,TDC+,0.14467890637,461.7947791
0.32,-188.310410431,-1.372,24.9733992615,461.8267331,TDC+,0.144535991789,461.8267331
0.0,-188.29719792,-1.092,8.98590817044,461.857893,TDC+,0.144307807553,461.857893
-0.32,-188.291042854,-1.498,-12.8383100231,461.8895171,TDC+,0.144201504999,461.8895171
-0.32,-188.300562853,-2.24,-23.2101298766,461.9214859,TDC+,0.144365921737,461.9214859
-0.32,-188.3230558,-2.842,-18.8743133763,461.9533811,TDC+,0.144754374106,461.9533811
0.0,-188.348053464,-2.926,-2.65019340102,461.9850769,TDC+,0.145186056669,461.9850769
-0.32,-188.36438419,-2.52,13.0290650844,462.016238,TDC+,0.145468055687,462.016238
-0.64,-188.366027909,-1.806,22.3873577274,462.048131,TDC+,0.145496438777,462.048131
-0.32,-188.376673205,-1.358,14.3089389347,462.0794401,TDC+,0.145680254638,462.0794401
0.0,-188.346778428,-1.47,-2.10664911126,462.1326051,TDC+,0.145164038847,462.1326051
0.64,-188.346438634,-1.918,-14.1303079335,462.16431,TDC+,0.145158171139,462.16431
5.76,-188.356212976,-2.282,-11.6928631774,462.1954401,TDC+,0.145326956619,462.1954401
15.04,-188.366908989,-2.408,-3.97153105674,462.2271659,TDC+,0.145511652869,462.2271659
27.52,-188.368072476,-2.142,8.42355936551,462.258744,TDC+,0.145531743384,462.258744
44.48,-188.356544332,-1.4,23.4343664036,462.2904069,TDC+,0.145332678473,462.2904069
66.56,-188.330645044,-0.854,17.0704484276,462.322392,TDC+,0.144885435041,462.322392
85.44,-188.302145312,-0.742,3.57519073004,462.353719,TDC+,0.144393251474,462.353719
101.44,-188.279076686,-1.05,-9.67002605885,462.38557,TDC+,0.143994835644,462.38557
115.52,-188.270455236,-1.568,-16.5368407611,462.416894,TDC+,0.143845929486,462.416894
128.64,-188.273537683,-2.114,-17.1600441258,462.4487121,TDC+,0.143899168624,462.4487121
140.48,-188.281504781,-2.366,-7.9233323272,462.4805169,TDC+,0.144036772119,462.4805169
155.2,-188.28524028,-2.156,6.69553184842,462.5118811,TDC+,0.14410128872,462.5118811
174.08,-188.268026824,-1.582,18.0305262463,462.543716,TDC+,0.143803986359,462.543716
196.48,-188.218500229,-0.504,33.9131282816,462.5755031,TDC+,0.142948515021,462.5755031
222.4,-188.124078371,0.952,46.8033263793,462.606612,TDC+Rev,0.141317273809,462.606612
246.4,-187.972710189,2.814,58.7862007128,462.6382861,TDC+,0.138701423428,462.6382861
267.84,-187.753752889,4.858,64.3455266637,462.6700521,TDC+,0.134915831968,462.6700521
288.0,-187.464066511,7.21,73.7146940464,462.7019589,TDC+,0.129904374317,462.7019589
301.76,-187.098312221,9.59,74.8943454769,462.733737,TDC+,0.123572245267,462.733737
313.92,-186.655897487,12.11,79.6309170196,462.765383,TDC+,0.115906225335,462.765383
324.16,-186.129208834,14.798,86.120446878,462.7965951,TDC+,0.106770961369,462.7965951
331.84,-185.50784573,17.598,87.9236822439,462.8284409,TDC+,0.0959820550258,462.8284409
335.68,-184.792546063,20.608,95.174856131,462.8600669,TDC+,0.0835482031458,462.8600669
340.8,-183.970841843,23.828,101.474532098,462.891799,TDC+,0.0692487985587,462.891799
340.16,-183.050845217,27.216,105.766259065,462.9238319,TDC+,0.0532221357913,462.9238319
338.56,-182.020332033,30.716,112.746471841,462.954875,TDC+,0.0352541392455,462.954875
338.24,-180.863777306,34.482,117.672423221,462.9868791,TDC+,0.0150751869343,462.9868791
337.28,-179.163085172,38.472,127.066421663,463.01828,Fall from H,-0.0146063998858,463.01828
334.4,-177.208865946,43.484,94.8523845571,463.07112,Fall from H,-0.0486952140006,463.07112
331.2,-175.590199806,48.986,171.829569552,463.1031401,Fall from H,-0.0768895685424,463.1031401
328.32,-173.797404003,54.922,189.395631393,463.1344819,Fall from H,-0.108044399278,463.1344819
324.16,-171.780277108,61.418,206.293606359,463.165971,Fall from H,-0.14296963533,463.165971
310.72,-169.556880605,68.502,221.547391564,463.1979461,Fall from H,-0.181259305767,463.1979461
291.84,-167.103559124,75.474,223.133275086,463.229192,Fall from H,-0.223189564943,463.229192
269.12,-164.371743312,83.062,237.428463255,463.2611511,Fall from H,-0.269394792935,463.2611511
240.32,-161.385966463,91.616,267.246523515,463.293159,Fall from H,-0.319191437997,463.293159
207.68,-158.109025739,101.15,302.416093332,463.3246851,Fall from H,-0.372841616958,463.3246851
183.04,-154.482694261,111.958,340.904431316,463.356389,Fall from H,-0.430783695944,463.356389
